,rarity_rank,tipus,skin,traits,owner
166,7528,Male,Dark-skinned,"Regular Shades, Shaved Head",0xB88F61
167,8698,Female,Mid-skinned,"Headband, Hot Lipstick",0x4d8E16
168,1880,Female,Light-skinned,"Blonde Bob, Blue Eye Shadow, Silver Chain",0x78f026
169,1299,Female,Mid-skinned,"Hot Lipstick, Regular Shades, Wild White Hair",0xcfc505
170,7775,Male,Light-skinned,"Classic Shades, Mole, Peak Spike",0xB88F61
171,9837,Male,Mid-skinned,"Earring, Mole, Stringy Hair",0xB88F61
172,2068,Female,Mid-skinned,"3D Glasses, Blonde Bob, Purple Lipstick",0xC352B5
173,3360,Female,Dark-skinned,"Clown Eyes Blue, Hot Lipstick, Messy Hair, Mole, Pipe",0x88BBEE
174,9534,Male,Dark-skinned,"Earring, Horned Rim Glasses, Wild Hair",0xB88F61
175,8197,Male,Mid-skinned,"Big Shades, Cap",0xB88F61
176,9512,Female,Dark-skinned,"Earring, Purple Lipstick, Regular Shades, Wild Hair, Hidden Earring",0xC352B5
177,6561,Male,Dark-skinned,"Bandana, Luxurious Beard",0xB88F61
178,3855,Male,Mid-skinned,Fedora,0xC352B5
179,9095,Male,Albino-skinned,"Classic Shades, Mohawk Thin, Shadow Beard",0xB88F61
180,189,Female,Dark-skinned,"Hot Lipstick, Pilot Helmet",0xFeEb2d
181,8071,Male,Dark-skinned,Mohawk,0xC352B5
182,7633,Male,Albino-skinned,Peak Spike,0xC352B5
183,4507,Male,Light-skinned,Shadow Beard,0xC352B5
184,2025,Female,Dark-skinned,"Blonde Bob, Green Eye Shadow",0xC352B5
185,1334,Female,Light-skinned,"Hot Lipstick, Wild White Hair",0xC352B5
186,6642,Male,Dark-skinned,"Crazy Hair, Mustache",0x06e13b
187,2777,Female,Light-skinned,Straight Hair,0xC352B5
188,7815,Male,Dark-skinned,"Earring, Nerd Glasses, Peak Spike",0xB88F61
189,9288,Female,Light-skinned,"Mohawk Thin, Purple Lipstick",0x4d8E16
190,8035,Male,Dark-skinned,Headband,0xC352B5
191,8068,Female,Dark-skinned,Mohawk,0xC352B5
192,4170,Male,Mid-skinned,"Clown Nose, Earring, Mohawk Thin, Nerd Glasses",0x4d8E16
193,3623,Female,Light-skinned,"Earring, Green Eye Shadow, Tassle Hat, Hidden Earring",0x4d8E16
194,8423,Male,Light-skinned,"Clown Eyes Green, Wild Hair",0xB88F61
195,1687,Female,Light-skinned,"Nerd Glasses, Straight Hair Blonde",0xC06dBD
196,3695,Female,Light-skinned,"Big Shades, Hot Lipstick, Tassle Hat",0xC352B5
197,9348,Male,Dark-skinned,"Eye Patch, Frumpy Hair",0x5Bf18d
198,68,Male,Mid-skinned,"Beanie, Luxurious Beard",0xC352B5
199,1161,Female,Light-skinned,"Blonde Short, Classic Shades",0xC352B5
200,8088,Female,Dark-skinned,Wild Hair,0xC352B5
201,2996,Female,Mid-skinned,"Blue Eye Shadow, Cigarette, Dark Hair, Hot Lipstick",0x4d8E16
202,8691,Female,Light-skinned,"Earring, Headband, Purple Lipstick",0x4d8E16
203,6082,Male,Light-skinned,"Front Beard, Messy Hair, Regular Shades",0xAB6cA2
204,8749,Male,Mid-skinned,"Crazy Hair, Regular Shades",0xeAB37B
205,6829,Male,Mid-skinned,"Big Shades, Mohawk Dark, Normal Beard Black",0xAE7721
206,4087,Male,Light-skinned,"Cap Forward, Cigarette, Clown Nose",0x4d8E16
207,7616,Male,Light-skinned,"Eye Patch, Peak Spike, Pipe",0x41fcF4
208,6321,Male,Mid-skinned,"3D Glasses, Earring, Shaved Head",0xB88F61
209,9856,Female,Dark-skinned,"Hot Lipstick, Stringy Hair",0x4d8E16
210,2708,Female,Mid-skinned,"Earring, Straight Hair Dark, Hidden Earring",0xC352B5
211,7320,Male,Dark-skinned,"Goat, Mohawk Thin",0xf0D699
212,8822,Female,Dark-skinned,"Crazy Hair, Hot Lipstick",0xC352B5
213,8046,Female,Mid-skinned,Crazy Hair,0xC352B5
214,5128,Male,Dark-skinned,"Front Beard Dark, Mohawk",0xD7E683
215,8076,Female,Mid-skinned,Mohawk,0xC352B5
216,8117,Male,Mid-skinned,Bandana,0xC352B5
217,6210,Male,Mid-skinned,"Chinstrap, Earring, Mohawk Dark",0xB88F61
218,5511,Male,Light-skinned,"Cap, Handlebars, Mole, Regular Shades",0xB88F61
219,1062,Female,Dark-skinned,"Bandana, Clown Eyes Blue, Earring, Rosy Cheeks",0xC352B5
220,8652,Male,Albino-skinned,"Big Shades, Headband",0xEc7641
221,7758,Male,Dark-skinned,"Cigarette, Classic Shades, Muttonchops, Stringy Hair",0xB88F61
222,7395,Male,Light-skinned,"Do-rag, Pipe, Small Shades",Opensea
223,6982,Male,Light-skinned,"Crazy Hair, Nerd Glasses, Normal Beard",0x4d8E16
224,8669,Male,Light-skinned,"Cigarette, Earring, Headband, Nerd Glasses",0xB88F61
225,311,Female,Mid-skinned,"Earring, Hot Lipstick, Orange Side, Hidden Earring",0xC352B5
226,4534,Female,Mid-skinned,Hot Lipstick,0xC352B5
227,1270,Female,Mid-skinned,Wild White Hair,0xC352B5
228,7663,Male,Mid-skinned,"Peak Spike, Small Shades",0xB88F61
229,9727,Male,Light-skinned,"Cigarette, Messy Hair",0x762ec7
230,6429,Male,Dark-skinned,"Knitted Cap, Luxurious Beard",0xB88F61
231,7915,Female,Mid-skinned,"Earring, Pipe, Stringy Hair",0xC352B5
232,5688,Female,Dark-skinned,"Blue Eye Shadow, Wild Hair",0x4d8E16
233,9978,Female,Albino-skinned,"Bandana, Hot Lipstick",0x4d8E16
234,8910,Male,Light-skinned,"Knitted Cap, Nerd Glasses",0x0d93bc
235,9461,Male,Light-skinned,"Cigarette, Frumpy Hair",0xd7510a
236,2121,Male,Light-skinned,"Muttonchops, Vampire Hair",0x47398F
237,9165,Male,Dark-skinned,"Mohawk, Regular Shades",0x55Cf34
238,2577,Female,Mid-skinned,"Clown Eyes Green, Straight Hair Dark",0xee269a
239,5213,Male,Dark-skinned,"Frown, Goat, Mohawk",0x24e267
240,1674,Female,Mid-skinned,"Big Shades, Straight Hair Blonde",0x3e9dAc
241,1590,Female,Light-skinned,Wild Blonde,0x31a5Ff
242,9827,Female,Dark-skinned,"Black Lipstick, Stringy Hair",0x3fb537
243,3947,Male,Light-skinned,"Cigarette, Earring, Front Beard, Police Cap",0xC352B5
244,9513,Female,Light-skinned,"Purple Lipstick, Regular Shades, Wild Hair",0x4d8E16
245,3025,Female,Dark-skinned,Dark Hair,0xC352B5
246,6555,Male,Albino-skinned,"Bandana, Earring, Luxurious Beard",0x618629
247,5762,Female,Dark-skinned,"Green Eye Shadow, Mohawk Dark",0x4d8E16
248,5424,Female,Dark-skinned,"Messy Hair, Purple Eye Shadow",0xB88F61
249,280,Female,Light-skinned,Orange Side,0x69021A
250,8409,Female,Mid-skinned,"Clown Eyes Green, Earring, Frumpy Hair, Hidden Earring",0x4d8E16
251,5763,Female,Light-skinned,"Green Eye Shadow, Mohawk Dark",0x4d8E16
252,4772,Male,Albino-skinned,"Cap Forward, Mole",Opensea
253,1145,Female,Dark-skinned,"Blonde Short, Clown Eyes Green",0xC352B5
254,3854,Male,Light-skinned,Fedora,0xC352B5
255,6584,Male,Light-skinned,"Mustache, Shaved Head",0xee269a
256,3781,Male,Dark-skinned,"Earring, Eye Patch, Fedora, Vape",0xB88F61
257,5261,Male,Light-skinned,"Cap, Frown",0x09D408
258,4604,Male,Mid-skinned,"Cap Forward, Handlebars",0x096ABB
259,4674,Male,Light-skinned,"Cap Forward, Earring, Eye Mask",0x4e142f
260,3167,Male,Dark-skinned,"3D Glasses, Purple Hair",0xEBC8Ff
261,1319,Female,Dark-skinned,"Black Lipstick, Wild White Hair",0xC352B5
262,1167,Female,Dark-skinned,"Blonde Short, Regular Shades",0xC352B5
263,7741,Male,Albino-skinned,"Messy Hair, Muttonchops",0x7131A7
264,1339,Female,Albino-skinned,"Earring, Wild White Hair, Hidden Earring",0x8C6e56
265,3391,Male,Dark-skinned,"Cap Forward, Earring, Gold Chain",0xd6a984
266,7435,Male,Dark-skinned,"Do-rag, Earring, Small Shades",0x004Aa3
267,3748,Male,Dark-skinned,"Clown Nose, Fedora",0x4d8E16
268,8052,Female,Light-skinned,Knitted Cap,0xC352B5
269,4840,Male,Dark-skinned,"Earring, Hoodie, Luxurious Beard, Small Shades, Hidden Earring",0x0aa648
270,2221,Female,Mid-skinned,"Clown Eyes Blue, Red Mohawk",0x4d8E16
271,8109,Male,Mid-skinned,Stringy Hair,0xC352B5
272,393,Male,Mid-skinned,"Buck Teeth, Messy Hair",0xC352B5
273,4761,Male,Light-skinned,"Big Shades, Cap Forward",0xf18fCE
274,5512,Male,Light-skinned,"Cap, Earring, Handlebars, Regular Shades",0xB88F61
275,5432,Female,Mid-skinned,"Purple Eye Shadow, Purple Lipstick, Stringy Hair",0x4d8E16
276,8044,Female,Light-skinned,Crazy Hair,0xC352B5
277,2162,Female,Light-skinned,Red Mohawk,0xC352B5
278,2661,Female,Albino-skinned,"Black Lipstick, Straight Hair Dark",0xC352B5
279,1527,Female,Mid-skinned,"Blue Eye Shadow, Purple Lipstick, Straight Hair Blonde",0xC352B5
280,4538,Male,Albino-skinned,Earring,0x717403
281,7,Male,Light-skinned,,0x6611fE
282,2601,Female,Albino-skinned,"Classic Shades, Straight Hair Dark",0x4d8E16
283,9453,Female,Light-skinned,"Frumpy Hair, Hot Lipstick",0x717403
284,8067,Male,Albino-skinned,Mohawk Thin,0xC352B5
285,3101,Female,Light-skinned,"Dark Hair, Purple Lipstick",0x05083F
286,7336,Male,Albino-skinned,"Goat, Wild Hair",0x3280f8
287,5391,Female,Albino-skinned,"Cigarette, Mohawk, Purple Eye Shadow",0xB4d8B8
288,7419,Male,Albino-skinned,Shaved Head,0xC352B5
289,9091,Female,Mid-skinned,"Eye Patch, Mohawk Thin",0xC352B5
290,1591,Female,Mid-skinned,Wild Blonde,0xC352B5
291,9340,Male,Mid-skinned,"Earring, Mohawk Thin",0x2e675E
292,3716,Female,Light-skinned,"Black Lipstick, Tassle Hat",0xC352B5
293,5565,Male,Light-skinned,"Handlebars, Mohawk Dark",0xB88F61
294,4980,Male,Dark-skinned,"Big Shades, Earring, Hoodie, Hidden Earring",0x59a549
295,5236,Male,Mid-skinned,"Frown, Shaved Head",0xB88F61
296,8078,Male,Mid-skinned,Mohawk Thin,0xC352B5
297,7686,Male,Mid-skinned,"Crazy Hair, Muttonchops",0xB88F61
298,2163,Female,Light-skinned,Half Shaved,0xC352B5
299,7389,Male,Dark-skinned,"Do-rag, Muttonchops",0x0654eF
300,7277,Male,Light-skinned,"Goat, Headband",Opensea
301,2014,Female,Albino-skinned,"Green Eye Shadow, Hot Lipstick, Red Mohawk",0xC352B5
302,5717,Female,Mid-skinned,"Bandana, Blue Eye Shadow, Purple Lipstick",0x4d8E16
303,2379,Female,Dark-skinned,"Purple Lipstick, Red Mohawk",0xC352B5
304,7793,Male,Mid-skinned,"Peak Spike, Shadow Beard",0xB88F61
305,2144,Female,Albino-skinned,"Blonde Bob, Purple Lipstick, VR",0xC352B5
306,5939,Female,Light-skinned,"Vape, Wild Hair",0xC352B5
307,6231,Male,Mid-skinned,"Chinstrap, Frumpy Hair",0x471ccd
308,9646,Male,Light-skinned,"Horned Rim Glasses, Messy Hair, Mole",0x822335
309,7559,Male,Mid-skinned,"Big Shades, Shaved Head",0xAB7244
310,5949,Male,Dark-skinned,"Bandana, Classic Shades, Earring, Vape",0xB88F61
311,6067,Male,Light-skinned,"Front Beard, Frumpy Hair",0xB88F61
312,4628,Male,Light-skinned,"Cap Forward, Chinstrap",0x8a5A3c
313,9052,Female,Light-skinned,"Mohawk Dark, Purple Lipstick",0xC352B5
314,3996,Male,Albino-skinned,"Eye Mask, Police Cap",0xe54C39
315,1317,Female,Mid-skinned,"Black Lipstick, Cigarette, Wild White Hair",0xC352B5
316,8112,Female,Dark-skinned,Bandana,0xC352B5
317,5192,Male,Mid-skinned,"Bandana, Chinstrap, Frown",0xB88F61
318,9975,Female,Albino-skinned,"Bandana, Cigarette, Hot Lipstick",0xCbB9ab
319,2705,Female,Light-skinned,"Earring, Straight Hair Dark, Hidden Earring",0xC352B5
320,8105,Male,Dark-skinned,Stringy Hair,0xC352B5
321,7636,Male,Mid-skinned,Peak Spike,0xC352B5
322,695,Female,Mid-skinned,"Black Lipstick, Clown Eyes Green, Pink With Hat",0x2b9324
323,8059,Male,Dark-skinned,Mohawk Dark,0xC352B5
324,2392,Female,Albino-skinned,"Blonde Bob, Earring, Hot Lipstick, Hidden Earring",0xC352B5
325,3972,Male,Dark-skinned,"Mustache, Police Cap, Small Shades",0xC352B5
326,1333,Female,Dark-skinned,"Earring, Hot Lipstick, Wild White Hair, Hidden Earring",0xC352B5
327,8041,Male,Albino-skinned,Crazy Hair,0xC352B5
328,9931,Male,Light-skinned,"Bandana, Horned Rim Glasses",0xEfBb70
329,9757,Female,Mid-skinned,"Bandana, Eye Patch",0x9AE891
330,8358,Male,Mid-skinned,"Clown Eyes Green, Knitted Cap",0xB88F61
331,3722,Female,Albino-skinned,"Earring, Purple Lipstick, Tassle Hat, Hidden Earring",0xC352B5
332,9803,Male,Dark-skinned,"Horned Rim Glasses, Stringy Hair",0x3Ee18f
333,1503,Female,Light-skinned,"Purple Eye Shadow, Purple Lipstick, Straight Hair Blonde",0xC352B5
334,1865,Male,Dark-skinned,"Big Beard, Wild Hair",0xC352B5
335,2561,Male,Mid-skinned,Clown Hair Green,0xd5509E
336,807,Male,Mid-skinned,"Nerd Glasses, Normal Beard, Top Hat",0xC352B5
337,8085,Male,Mid-skinned,Frumpy Hair,0xC352B5
338,8310,Male,Light-skinned,"Messy Hair, Small Shades",0x28d804
339,3361,Female,Albino-skinned,"Big Shades, Black Lipstick, Cap, Earring, Mole",0x415424
340,3516,Male,Mid-skinned,"3D Glasses, Headband, Medical Mask, Muttonchops",0x8F6b1e
341,9734,Female,Light-skinned,"Earring, Messy Hair",0x778608
342,9907,Female,Light-skinned,"Bandana, Regular Shades",0x1424D2
343,4049,Male,Light-skinned,"Police Cap, Shadow Beard",0xC352B5
344,75,Male,Dark-skinned,Beanie,0x31a5Ff
345,3744,Female,Mid-skinned,"Earring, Tassle Hat, Hidden Earring",0xC352B5
346,3218,Male,Mid-skinned,Purple Hair,0x6611fE
347,8900,Male,Mid-skinned,"Horned Rim Glasses, Knitted Cap",0xB88F61
348,1084,Female,Light-skinned,"Messy Hair, Nerd Glasses, Rosy Cheeks",0xC352B5
349,5112,Male,Dark-skinned,"Earring, Front Beard Dark, Mohawk Dark",0xAc707E
350,8108,Female,Mid-skinned,Stringy Hair,0xC352B5
351,3194,Male,Light-skinned,"Goat, Mole, Purple Hair",0xC352B5
352,2759,Female,Mid-skinned,"Green Eye Shadow, Straight Hair",0x24e267
